,dataset,x,y
0,dino,55.3846,97.1795
1,dino,51.5385,96.0256
2,dino,46.1538,94.4872
3,dino,42.8205,91.4103
4,dino,40.7692,88.3333
5,dino,38.7179,84.8718
6,dino,35.641,79.8718
7,dino,33.0769,77.5641
8,dino,28.9744,74.4872
9,dino,26.1538,71.4103
10,dino,23.0769,66.4103
11,dino,22.3077,61.7949
12,dino,22.3077,57.1795
13,dino,23.3333,52.9487
14,dino,25.8974,51.0256
15,dino,29.4872,51.0256
16,dino,32.8205,51.0256
17,dino,35.3846,51.4103
18,dino,40.2564,51.4103
19,dino,44.1026,52.9487
20,dino,46.6667,54.1026
21,dino,50.0,55.2564
22,dino,53.0769,55.641
23,dino,56.6667,56.0256
24,dino,59.2308,57.9487
25,dino,61.2821,62.1795
26,dino,61.5385,66.4103
27,dino,61.7949,69.1026
28,dino,57.4359,55.2564
29,dino,54.8718,49.8718
30,dino,52.5641,46.0256
31,dino,48.2051,38.3333
32,dino,49.4872,42.1795
33,dino,51.0256,44.1026
34,dino,45.3846,36.4103
35,dino,42.8205,32.5641
36,dino,38.7179,31.4103
37,dino,35.1282,30.2564
38,dino,32.5641,32.1795
39,dino,30.0,36.7949
40,dino,33.5897,41.4103
41,dino,36.6667,45.641
42,dino,38.2051,49.1026
43,dino,29.7436,36.0256
44,dino,29.7436,32.1795
45,dino,30.0,29.1026
46,dino,32.0513,26.7949
47,dino,35.8974,25.2564
48,dino,41.0256,25.2564
49,dino,44.1026,25.641
50,dino,47.1795,28.718
51,dino,49.4872,31.4103
52,dino,51.5385,34.8718
53,dino,53.5897,37.5641
54,dino,55.1282,40.641
55,dino,56.6667,42.1795
56,dino,59.2308,44.4872
57,dino,62.3077,46.0256
58,dino,64.8718,46.7949
59,dino,67.9487,47.9487
60,dino,70.5128,53.718
61,dino,71.5385,60.641
62,dino,71.5385,64.4872
63,dino,69.4872,69.4872
64,dino,46.9231,79.8718
65,dino,48.2051,84.1026
66,dino,50.0,85.2564
67,dino,53.0769,85.2564
68,dino,55.3846,86.0256
69,dino,56.6667,86.0256
70,dino,56.1538,82.9487
71,dino,53.8462,80.641
72,dino,51.2821,78.718
73,dino,50.0,78.718
74,dino,47.9487,77.5641
75,dino,29.7436,59.8718
76,dino,29.7436,62.1795
77,dino,31.2821,62.5641
78,dino,57.9487,99.4872
79,dino,61.7949,99.1026
80,dino,64.8718,97.5641
81,dino,68.4615,94.1026
82,dino,70.7692,91.0256
83,dino,72.0513,86.4103
84,dino,73.8462,83.3333
85,dino,75.1282,79.1026
86,dino,76.6667,75.2564
87,dino,77.6923,71.4103
88,dino,79.7436,66.7949
89,dino,81.7949,60.2564
90,dino,83.3333,55.2564
91,dino,85.1282,51.4103
92,dino,86.4103,47.5641
93,dino,87.9487,46.0256
94,dino,89.4872,42.5641
95,dino,93.3333,39.8718
96,dino,95.3846,36.7949
97,dino,98.2051,33.718
98,dino,56.6667,40.641
99,dino,59.2308,38.3333
100,dino,60.7692,33.718
101,dino,63.0769,29.1026
102,dino,64.1026,25.2564
103,dino,64.359,24.1026
104,dino,74.359,22.9487
105,dino,71.2821,22.9487
106,dino,67.9487,22.1795
107,dino,65.8974,20.2564
108,dino,63.0769,19.1026
109,dino,61.2821,19.1026
110,dino,58.7179,18.3333
111,dino,55.1282,18.3333
112,dino,52.3077,18.3333
113,dino,49.7436,17.5641
114,dino,47.4359,16.0256
115,dino,44.8718,13.718
116,dino,48.7179,14.8718
117,dino,51.2821,14.8718
118,dino,54.1026,14.8718
119,dino,56.1538,14.1026
120,dino,52.0513,12.5641
121,dino,48.7179,11.0256
122,dino,47.1795,9.8718
123,dino,46.1538,6.0256
124,dino,50.5128,9.4872
125,dino,53.8462,10.2564
126,dino,57.4359,10.2564
127,dino,60.0,10.641
128,dino,64.1026,10.641
129,dino,66.9231,10.641
130,dino,71.2821,10.641
131,dino,74.359,10.641
132,dino,78.2051,10.641
133,dino,67.9487,8.718
134,dino,68.4615,5.2564
135,dino,68.2051,2.9487
136,dino,37.6923,25.7692
137,dino,39.4872,25.3846
138,dino,91.2821,41.5385
139,dino,50.0,95.7692
140,dino,47.9487,95.0
141,dino,44.1026,92.6923
142,away,32.3311102266,61.411101248
143,away,53.4214628807,26.1868803879
144,away,63.92020226,30.8321939163
145,away,70.2895057187,82.5336485877
146,away,34.1188302357,45.7345513203
147,away,67.6707164012,37.110947969
148,away,53.2591294055,97.4757710964
149,away,63.5149808671,25.1000785788
150,away,67.9805388133,80.9571652197
151,away,67.3724659005,29.720400203
152,away,15.5607495229,80.0656402858
153,away,71.7907676942,71.0654666627
154,away,70.2425464362,24.1095975542
155,away,64.9374355444,81.5542049945
156,away,62.2135245453,21.4758389969
157,away,67.2694004772,18.7089683725
158,away,40.5701970446,79.3729634752
159,away,74.7411813341,21.1016372041
160,away,71.7683189223,20.0110618423
161,away,76.1669198143,75.9361704048
162,away,65.6236574431,15.5828033531
163,away,50.8506336394,13.9876016304
164,away,33.0240700249,24.4678303872
165,away,39.7063261674,84.2752871038
166,away,45.5964849542,9.76334884943
167,away,42.9680469104,17.9454583961
168,away,52.4944067819,16.0511142003
169,away,46.0822757831,23.1104578154
170,away,74.2477082092,20.314187812
171,away,64.5682641863,83.6396338956
172,away,74.0216939058,76.1282745076
173,away,62.3911805626,5.62307076073
174,away,74.189036683,68.1335832223
175,away,28.2367819396,56.1395964513
176,away,75.7719387944,69.8292300322
177,away,75.8552294691,62.5170442862
178,away,65.9708570175,72.7448559954
179,away,21.7780404779,6.61662530728
180,away,67.7597962473,72.4212015285
181,away,78.6171953363,52.5752573142
182,away,68.5077081898,15.4569189652
183,away,74.8850211598,25.4166063231
184,away,66.4549036599,19.8366286542
185,away,77.3178020985,48.3983464352
186,away,58.9124603193,75.6677562173
187,away,57.617447817,8.19480060319
188,away,76.0882257967,59.6799300235
189,away,57.4660505497,1.50441817488
190,away,79.4283834934,45.2107942872
191,away,76.3565221496,10.4182411281
192,away,64.4050752632,78.5841760758
193,away,40.6350418091,73.3947503698
194,away,43.9498645857,75.9587156671
195,away,30.9962205791,71.694404938
196,away,68.2307689907,80.8725016628
197,away,72.0463894612,12.9180067349
198,away,46.5927679682,84.9723827774
199,away,49.2572183396,81.8814032306
200,away,42.7817612539,12.9911884302
201,away,65.475952195,14.2745856444
202,away,71.9650826544,17.7102359443
203,away,32.1464623358,43.4817094425
204,away,31.8384976954,71.8121653901
205,away,31.0052582572,40.682503007
206,away,80.4708943189,49.5021483467
207,away,71.9641671122,41.8742826668
208,away,78.0794214417,93.1333167652
209,away,41.6775957748,30.2012640846
210,away,65.953595185,31.1474060835
211,away,62.9344593731,31.9163906992
212,away,64.3737979844,28.8625834061
213,away,72.5093283599,39.5401302526
214,away,30.0522898741,96.6175423534
215,away,28.0033242354,46.6721919544
216,away,75.4012268619,88.6390766207
217,away,38.9800154218,87.322160691
218,away,65.2199135479,84.6829549336
219,away,73.0539899616,29.3808085571
220,away,34.3983616372,59.5444469033
221,away,43.4904501336,40.782542065
222,away,55.138737967,30.7257603575
223,away,43.6843934333,32.8230098696
224,away,35.9036097344,91.1118630801
225,away,45.3780188805,29.1692166544
226,away,39.7774828713,43.75581895
227,away,38.6644611569,33.3172384774
228,away,39.0440366877,84.6760108316
229,away,91.6399614428,79.4066030605
230,away,47.4881326771,85.3899333808
231,away,44.5902125769,22.0340116412
232,away,39.0896145478,70.4661940802
233,away,42.2293783752,19.9140684075
234,away,37.0003871448,60.264279248
235,away,39.0520864793,70.6525028457
236,away,37.4884147432,60.8144048511
237,away,69.3595594592,65.5213545959
238,away,43.542775926,62.4603112824
239,away,39.8112302539,65.3348328092
240,away,70.0689259404,7.59346560899
241,away,70.0405435824,77.1438066024
242,away,39.505789079,74.8516272173
243,away,62.5168908529,66.4847322418
244,away,72.1399254065,0.0151193251552
245,away,45.2515760666,70.0034213192
246,away,42.0633045627,2.33519661206
247,away,36.3556951539,6.0058486497
248,away,30.3918276596,42.75961287
249,away,36.4490038543,50.5462690659
250,away,40.467576002,60.0275120878
251,away,81.7246168002,6.03754484635
252,away,48.8231974964,76.6353305783
253,away,35.6205617651,57.2860155789
254,away,50.5839631148,71.8066161014
255,away,61.8564651063,71.7927431642
256,away,39.3237560262,59.3008196656
257,away,42.1856791429,66.0348978235
258,away,30.8469189898,37.3416401041
259,away,29.3462004281,42.1487418312
260,away,82.1105579783,1.21055166293
261,away,38.3020058088,60.0177857932
262,away,56.5841530218,70.512514809
263,away,33.3393742865,0.5091067352
264,away,78.7742390407,35.4841012146
265,away,27.9226442446,25.9868781844
266,away,71.6978651182,10.8681445111
267,away,74.1383313856,49.1739189791
268,away,32.579020066,1.80811559665
269,away,59.83218542,69.1525081443
270,away,35.0306285457,12.5366493416
271,away,74.3001198284,42.4770945921
272,away,63.2501970628,65.9524861966
273,away,34.1730737648,25.6936743092
274,away,40.9138319319,38.5590195509
275,away,62.8332930874,62.5108942269
276,away,42.4767923803,56.7312899691
277,away,52.0334562787,64.5666620298
278,away,48.9070429644,74.2877488252
279,away,59.8518383854,72.9583909677
280,away,48.9604602016,72.6295257275
281,away,46.8448551673,36.7917136918
282,away,39.9630215796,42.9449148487
283,away,66.704943997,32.0150954299
284,h_lines,53.366566866,90.2080300059
285,h_lines,52.8019793617,90.0880645063
286,h_lines,47.0541298828,90.458936026
287,h_lines,42.4484337816,89.5077001153
288,h_lines,42.7040363241,90.4426288607
289,h_lines,32.3789386326,90.144142631
290,h_lines,32.5307027362,70.1573965085
291,h_lines,33.3652644305,70.4593354392
292,h_lines,32.6560991775,70.0510704992
293,h_lines,22.9550932697,70.4268951523
294,h_lines,27.1498436318,70.2108058428
295,h_lines,26.1669092779,70.5003151212
296,h_lines,26.3314570795,50.494556525
297,h_lines,22.0037091415,50.4994401238
298,h_lines,23.2847479782,50.4743528321
299,h_lines,27.6340383923,50.5036668574
300,h_lines,32.0371080007,50.5000661229
301,h_lines,29.3365106528,50.461893969
302,h_lines,40.816953133,50.4877601957
303,h_lines,42.7390751173,50.483155992
304,h_lines,51.8678937691,50.4932732621
305,h_lines,43.3710018924,50.5008373234
306,h_lines,53.0427983006,50.4875038691
307,h_lines,56.6189102967,50.5033740178
308,h_lines,70.568289819,50.4962361243
309,h_lines,67.870887292,70.0680261345
310,h_lines,58.8215465891,70.4557817483
311,h_lines,60.1869278445,70.4835512458
312,h_lines,59.4355174849,50.4206326073
313,h_lines,49.5858434795,50.4349813825
314,h_lines,41.7797417848,50.4706422808
315,h_lines,46.1276863394,30.4494107792
316,h_lines,38.0337837705,50.4908995189
317,h_lines,44.5468412844,50.4159133758
318,h_lines,46.2381175975,30.4956129408
319,h_lines,49.7397453317,30.4727248868
320,h_lines,39.1102518936,30.4786951789
321,h_lines,39.1428377913,30.7928559394
322,h_lines,34.6254702671,30.4997410297
323,h_lines,34.7542074707,30.4958650002
324,h_lines,36.7537002386,50.5293043035
325,h_lines,37.0193512929,50.4926666972
326,h_lines,41.4171152753,50.4697734181
327,h_lines,22.8171074784,30.4360403387
328,h_lines,34.800701463,30.4979313851
329,h_lines,27.8918897953,30.4849702595
330,h_lines,32.8706391587,30.5023417488
331,h_lines,37.7940494081,30.4926383364
332,h_lines,35.6673163042,30.522035054
333,h_lines,48.4422995026,30.5017227753
334,h_lines,58.6693732631,30.5068378948
335,h_lines,47.9169554375,30.4867257545
336,h_lines,51.8941663939,30.494755684
337,h_lines,51.7490891643,30.4729933399
338,h_lines,58.2465530013,50.4428744949
339,h_lines,57.3106968674,50.4825132895
340,h_lines,67.9680481127,50.4521589097
341,h_lines,65.9493192681,50.494240794
342,h_lines,55.7470928102,50.4789748003
343,h_lines,68.4030100436,50.4986272318
344,h_lines,76.696465628,50.4938305609
345,h_lines,67.2148371159,70.2600284356
346,h_lines,72.3020057291,70.2204373812
347,h_lines,66.7632573944,70.4738617113
348,h_lines,51.6803004439,89.9970275485
349,h_lines,53.0965573571,89.540243712
350,h_lines,42.2422929389,89.7085785936
351,h_lines,56.2338756577,89.635308157
352,h_lines,54.6809865825,89.9645994589
353,h_lines,57.9026866088,89.6184017294
354,h_lines,51.8202625467,89.8341303987
355,h_lines,56.8283953362,89.5836647251
356,h_lines,58.2722785867,69.9002729578
357,h_lines,51.8281274487,70.3526492053
358,h_lines,44.8499842618,70.3952029719
359,h_lines,24.2703823928,50.4855676918
360,h_lines,34.7424714403,70.3399348879
361,h_lines,37.7993149267,70.4695358763
362,h_lines,49.7869410649,89.6580469945
363,h_lines,59.751497414,89.7319325216
364,h_lines,64.7747992444,90.132316736
365,h_lines,70.8444476004,89.9242090159
366,h_lines,70.6059455116,90.042061963
367,h_lines,78.6424883907,89.5512032307
368,h_lines,70.810692254,89.5926540118
369,h_lines,66.7699466213,70.4233752108
370,h_lines,73.3363681612,70.3169271705
371,h_lines,73.1051481627,70.300511881
372,h_lines,74.6782541432,70.4453141903
373,h_lines,80.240250951,70.3543089613
374,h_lines,70.9468490729,50.4727017878
375,h_lines,88.6626638086,50.4553260208
376,h_lines,84.405952832,50.4948658866
377,h_lines,75.9871047068,50.4919669557
378,h_lines,91.1120854191,50.489389393
379,h_lines,98.2881232748,30.6039193719
380,h_lines,95.0652748396,30.5004028652
381,h_lines,95.2492339568,30.4594542144
382,h_lines,49.6561262881,50.4313198677
383,h_lines,63.0186009279,30.4925819262
384,h_lines,70.5382006004,30.4835582526
385,h_lines,70.0868697658,30.5100448173
386,h_lines,62.6856904424,30.5464245575
387,h_lines,69.239417959,30.5060052447
388,h_lines,80.4002336791,30.4850063746
389,h_lines,74.6478782284,30.6738628584
390,h_lines,65.9952727194,30.4750241915
391,h_lines,67.0885590036,30.4945239508
392,h_lines,59.8525770283,10.5431877763
393,h_lines,53.7489900744,10.5225745323
394,h_lines,58.2390955164,10.4948990284
395,h_lines,54.810300495,10.7249292845
396,h_lines,52.9767123211,10.859490276
397,h_lines,52.2038939272,10.4956369212
398,h_lines,50.7451622429,10.5249055723
399,h_lines,42.7131936166,10.4875472428
400,h_lines,45.3172255098,10.4958733944
401,h_lines,53.116915041,10.5068605973
402,h_lines,57.049801823,10.5081369414
403,h_lines,54.8546309465,10.4639151924
404,h_lines,54.9248425638,10.498331942
405,h_lines,63.3095540306,10.4888142392
406,h_lines,49.7494984129,10.4858029097
407,h_lines,41.1693104232,10.4973002433
408,h_lines,46.6883404976,10.5075321353
409,h_lines,52.4189219215,10.4959063596
410,h_lines,50.8784883796,10.5030898746
411,h_lines,57.0533061394,10.5140692392
412,h_lines,70.7864511597,10.5136950409
413,h_lines,56.7721495656,10.5032723508
414,h_lines,75.4772220231,10.5185680355
415,h_lines,76.7659121498,10.496999064
416,h_lines,77.621049129,10.4958742318
417,h_lines,65.4144870523,10.6818401251
418,h_lines,69.9647805002,10.5072329326
419,h_lines,64.9697382623,10.4821595117
420,h_lines,38.0502407785,30.4079460343
421,h_lines,42.2241202189,30.4980371582
422,h_lines,87.6984642949,50.4899365296
423,h_lines,52.3603310701,89.7043170068
424,h_lines,51.4067867898,89.7121385499
425,h_lines,43.588468468,89.7455365536
426,v_lines,50.4815081703,93.2227013657
427,v_lines,50.2824056687,97.6099835723
428,v_lines,50.1867033389,99.6946801425
429,v_lines,50.3269108629,90.0220534916
430,v_lines,50.4562073315,89.9874101286
431,v_lines,30.4648469308,82.0892320845
432,v_lines,30.5015964737,82.3071263462
433,v_lines,30.489569227,77.7298801366
434,v_lines,30.45024833,79.8348944011
435,v_lines,30.5183947985,68.2525829388
436,v_lines,30.5116612138,66.0937181831
437,v_lines,30.4980777147,62.3849850338
438,v_lines,30.6202277519,60.8600821544
439,v_lines,30.4921854231,55.8789168923
440,v_lines,30.474634333,52.3221596388
441,v_lines,30.500998079,48.0696996767
442,v_lines,30.4944213623,45.7734755346
443,v_lines,30.4995445502,49.3820997506
444,v_lines,50.144392979,47.0142836417
445,v_lines,49.9128985877,55.5878389121
446,v_lines,50.3374274859,57.9553142818
447,v_lines,50.4189791992,60.5249117346
448,v_lines,50.2052589714,57.9242171676
449,v_lines,50.4353151633,56.4393224734
450,v_lines,69.5057889042,59.2849248279
451,v_lines,69.5340709833,64.8929773346
452,v_lines,69.5101069302,61.3296244282
453,v_lines,69.5263228876,56.9952791254
454,v_lines,49.9472399619,48.2295767261
455,v_lines,50.0631041291,58.085037556
456,v_lines,50.489902373,39.2054119682
457,v_lines,49.6888638379,42.018514414
458,v_lines,50.3334811097,43.588671479
459,v_lines,50.4467514196,57.2305889423
460,v_lines,50.4209091963,43.3479568967
461,v_lines,50.3740520508,32.9182406167
462,v_lines,30.4768299051,39.4246055913
463,v_lines,30.5034743497,38.3485561381
464,v_lines,30.5048349283,28.7714879939
465,v_lines,30.4622184647,32.7504720275
466,v_lines,30.491302622,43.5613740753
467,v_lines,30.449653838,44.9951230008
468,v_lines,30.4859942157,47.3479464653
469,v_lines,30.5020767935,36.4412129198
470,v_lines,30.4780588886,28.020580489
471,v_lines,30.5011608787,38.3141385582
472,v_lines,30.5047730174,26.4166256707
473,v_lines,30.509115326,22.8255471196
474,v_lines,50.1156321728,16.6940065479
475,v_lines,50.4483013392,21.6402564599
476,v_lines,50.17317743,29.177864393
477,v_lines,49.9227419194,38.4404729124
478,v_lines,50.3112993746,26.8604882737
479,v_lines,50.3994096114,38.9638389234
480,v_lines,50.3373626448,40.913386144
481,v_lines,50.2023180965,47.2129480045
482,v_lines,50.2749326091,49.6234993439
483,v_lines,69.4943803061,52.6124107059
484,v_lines,69.5193397556,47.384533707
485,v_lines,69.5291826079,57.8412666804
486,v_lines,69.495755496,58.785073162
487,v_lines,69.199057706,60.4189573202
488,v_lines,69.5510914402,58.4010982686
489,v_lines,69.5066843151,68.0844667893
490,v_lines,50.4441175504,75.0132995059
491,v_lines,50.4672293846,90.281464505
492,v_lines,50.210881979,80.9417717084
493,v_lines,50.205406955,90.6405359009
494,v_lines,50.4382906648,92.3547602661
495,v_lines,50.3735188462,82.2192057218
496,v_lines,50.253683689,81.7438287242
497,v_lines,50.2504708592,71.9513852104
498,v_lines,50.0870583609,73.9518736268
499,v_lines,50.2310718829,80.6473870602
500,v_lines,50.2077411201,73.1145035177
501,v_lines,30.4995061735,53.6125276703
502,v_lines,30.5203612407,65.1004090686
503,v_lines,30.4549558873,63.5017787814
504,v_lines,50.4164772292,97.2696919618
505,v_lines,69.5250693831,93.5980502089
506,v_lines,69.5202566002,97.1938760167
507,v_lines,69.4989700668,92.1204899292
508,v_lines,69.5286156637,91.6220882409
509,v_lines,69.4997669273,84.47968329
510,v_lines,69.5038013697,81.8154056166
511,v_lines,69.4875893963,81.8359875567
512,v_lines,69.5191157281,71.1159672213
513,v_lines,69.5043762947,70.4934438205
514,v_lines,69.5125730109,61.497563947
515,v_lines,89.4942005622,62.2343269676
516,v_lines,89.5001240511,53.2163306165
517,v_lines,89.490246254,48.890796551
518,v_lines,89.49778562,46.6299066746
519,v_lines,89.5048511306,48.4234081578
520,v_lines,89.5010526463,43.3473436951
521,v_lines,89.4888412549,40.6250912209
522,v_lines,89.5016235276,45.8151791904
523,v_lines,89.497529662,33.901372671
524,v_lines,50.4390920216,37.670771798
525,v_lines,50.179850128,36.8075593352
526,v_lines,69.5050706711,33.7401525035
527,v_lines,69.5798670452,21.9352367455
528,v_lines,69.5064719492,22.7286628748
529,v_lines,69.4994788728,16.3374699821
530,v_lines,69.500264751,27.1360239942
531,v_lines,69.5041565157,23.6689181006
532,v_lines,69.5322795847,21.8509008151
533,v_lines,69.5001114942,11.7916260054
534,v_lines,69.5048154243,15.6143582625
535,v_lines,69.5034745234,17.1690897689
536,v_lines,50.3774019862,16.5060150613
537,v_lines,50.3394254813,18.7234506861
538,v_lines,50.0936501016,11.6077134241
539,v_lines,49.9341271714,22.2561397401
540,v_lines,50.2888186122,13.436410466
541,v_lines,50.2879944267,12.8722822086
542,v_lines,50.2347207,20.4044729196
543,v_lines,50.2797016367,15.608737571
544,v_lines,50.2530067222,11.3020842468
545,v_lines,50.4741411162,12.4619966676
546,v_lines,50.1084399725,18.2590443442
547,v_lines,49.919058249,3.7168538855
548,v_lines,50.0836645085,10.2358819024
549,v_lines,50.3522608355,12.4686005273
550,v_lines,50.4975722411,7.40962523419
551,v_lines,50.0163058346,16.2536847911
552,v_lines,50.4682212165,13.3567024555
553,v_lines,69.5506789842,9.03298756904
554,v_lines,69.5186727475,15.1804864298
555,v_lines,69.5034574098,16.8783132661
556,v_lines,69.4994868291,10.2078266798
557,v_lines,69.5275296829,9.99229666551
558,v_lines,69.5190952617,11.4226857018
559,v_lines,69.5618994268,15.9998037858
560,v_lines,69.5010445197,5.95583353945
561,v_lines,69.524635976,2.73476016988
562,v_lines,30.4995937106,26.0855615691
563,v_lines,30.487391709,19.7794703733
564,v_lines,89.5001804719,31.9789174357
565,v_lines,50.4102716314,98.6283694405
566,v_lines,50.3259243927,94.9946308528
567,v_lines,50.1040315041,95.0885380179
568,x_shape,38.3377571839,92.472719051
569,x_shape,35.7518707905,94.1167680276
570,x_shape,32.7672179591,88.5182945794
571,x_shape,33.7296067755,88.622265789
572,x_shape,37.238249327,83.7249284144
573,x_shape,36.0271982243,82.0407806505
574,x_shape,39.2392807768,79.2637238398
575,x_shape,39.7845249391,82.2605658962
576,x_shape,35.1660293896,84.1564919839
577,x_shape,40.622115916,78.5421042089
578,x_shape,39.181907086,79.8190371976
579,x_shape,42.4308889944,75.1336346406
580,x_shape,43.0812558617,75.3467016413
581,x_shape,44.3607194344,70.4742070546
582,x_shape,44.3247788435,71.0459044019
583,x_shape,47.552160202,66.4604037217
584,x_shape,48.6649246215,64.9610049438
585,x_shape,46.280631958,68.0284231525
586,x_shape,50.5632444849,62.6238279659
587,x_shape,52.6309642318,59.9639357915
588,x_shape,54.6362064446,57.4938424367
589,x_shape,51.346027139,61.6005530364
590,x_shape,57.134855354,53.8779658045
591,x_shape,54.1712415737,58.0598078952
592,x_shape,50.9423823071,62.0973939351
593,x_shape,66.512924456,59.0712818478
594,x_shape,64.3979095023,56.1748754008
595,x_shape,68.686593294,62.2373439902
596,x_shape,65.0277937057,57.0962573525
597,x_shape,53.3045031712,40.883844549
598,x_shape,52.9451780881,40.3846256942
599,x_shape,45.225738199,30.5552259226
600,x_shape,50.8433046202,37.7446280981
601,x_shape,49.6592939398,36.273442735
602,x_shape,47.1427889348,32.0250641734
603,x_shape,41.2700565259,21.7218171465
604,x_shape,47.1301271555,31.3099029222
605,x_shape,40.9159715783,23.5415923929
606,x_shape,38.6601639737,21.6895496369
607,x_shape,42.6125508262,24.195053774
608,x_shape,41.2090395008,24.1287091891
609,x_shape,50.6492211499,37.4837907435
610,x_shape,52.1319019406,39.3646020815
611,x_shape,39.7972712705,16.083549649
612,x_shape,43.5498814807,24.3072109395
613,x_shape,36.7146633371,17.3818098572
614,x_shape,37.2246101278,17.9800644828
615,x_shape,40.5124478537,22.9622145725
616,x_shape,40.2220627884,20.6146217044
617,x_shape,44.1249612057,23.3662452858
618,x_shape,42.3462616039,24.5583269437
619,x_shape,44.1890843708,28.772625473
620,x_shape,45.8142453101,31.056979672
621,x_shape,46.6431192691,31.4072190618
622,x_shape,52.1898883047,39.3677964938
623,x_shape,51.1003173587,38.095699984
624,x_shape,65.4008341477,42.6140320392
625,x_shape,64.8520398267,43.1337348404
626,x_shape,63.4038060118,44.847493688
627,x_shape,65.3715488709,42.6959713164
628,x_shape,61.9080397046,53.1903520694
629,x_shape,71.8266529973,65.6862303604
630,x_shape,72.6546231621,66.8782776113
631,x_shape,76.8885781632,72.1654720777
632,x_shape,43.7446196844,71.2679610751
633,x_shape,39.0542484428,83.1190207043
634,x_shape,39.9316746322,79.9391880033
635,x_shape,39.762826107,76.4059674459
636,x_shape,41.323383287,80.2118685969
637,x_shape,41.7873232275,83.9880779935
638,x_shape,39.7556490651,79.6570966361
639,x_shape,40.7498793985,77.204657286
640,x_shape,43.8568984983,77.6098436482
641,x_shape,42.3678224956,73.6382718294
642,x_shape,39.4629598364,78.459973898
643,x_shape,44.5173339492,70.3693498252
644,x_shape,41.6360929963,76.2492229205
645,x_shape,45.4229321817,69.0955016709
646,x_shape,42.0028562742,97.8376147235
647,x_shape,76.1056290282,95.3049805754
648,x_shape,79.2025626772,92.4072156264
649,x_shape,84.8482440854,95.4248045304
650,x_shape,81.5644753207,83.7929072262
651,x_shape,85.4461864009,83.0782938448
652,x_shape,80.3124913784,76.5162389518
653,x_shape,80.7662322969,79.8960656796
654,x_shape,82.6701124763,81.711479845
655,x_shape,77.1636254828,73.5237189623
656,x_shape,74.0707000309,68.4795642895
657,x_shape,74.1142308687,71.9263635185
658,x_shape,68.942075458,62.635150577
659,x_shape,73.2420023309,67.3532711288
660,x_shape,71.8670131631,34.3291575887
661,x_shape,71.5691888532,34.699218607
662,x_shape,71.4829096934,34.6805169926
663,x_shape,78.1285220512,23.139231835
664,x_shape,78.789825254,25.5971933466
665,x_shape,77.7815467962,23.4472144745
666,x_shape,48.5306293681,34.1524500077
667,x_shape,65.5307814724,42.2810847015
668,x_shape,70.1180341426,36.4481847905
669,x_shape,70.4722626065,36.0880530553
670,x_shape,76.7911300701,28.0720081685
671,x_shape,72.4093545935,33.0392569664
