,dataset,x,y
672,x_shape,76.271299815,25.5695441452
673,x_shape,76.9532591384,27.7706107405
674,x_shape,75.1077300904,30.0169834157
675,x_shape,75.9692852004,29.0388653753
676,x_shape,75.2838870131,24.8747531721
677,x_shape,77.0522406385,27.9056390894
678,x_shape,42.8267563374,25.5569594065
679,x_shape,42.0806606852,24.9465264454
680,x_shape,39.8783046498,18.3249292157
681,x_shape,36.4754991726,17.7189477884
682,x_shape,37.1030736419,15.4456116477
683,x_shape,34.1489682077,13.5238698677
684,x_shape,37.5794219113,15.0158901333
685,x_shape,41.0643057894,12.2144689321
686,x_shape,42.195266147,20.9193721857
687,x_shape,36.6055782383,15.748875885
688,x_shape,39.4311612098,19.3238407541
689,x_shape,37.5620763361,11.9284457044
690,x_shape,34.2381100444,13.7131582305
691,x_shape,34.1409410386,4.57766135024
692,x_shape,36.6592676972,17.6819644553
693,x_shape,40.6437192795,20.2408613716
694,x_shape,36.7924815919,13.3921347304
695,x_shape,75.9483006427,22.7447959146
696,x_shape,76.8406924717,20.9185472197
697,x_shape,81.9504776395,19.8745582085
698,x_shape,81.6437056853,16.5917599845
699,x_shape,84.6102197758,14.2477619017
700,x_shape,84.1028794336,8.98065579006
701,x_shape,80.18002545,19.0888441297
702,x_shape,80.5732729943,8.36563890168
703,x_shape,79.0043268649,10.6281977654
704,x_shape,40.0481864651,24.2614879334
705,x_shape,34.7945935378,13.9696834611
706,x_shape,79.221764441,22.0945914837
707,x_shape,36.0308797708,93.1217332374
708,x_shape,34.4995583102,86.6099850511
709,x_shape,31.1068665551,89.4616352367
710,star,58.2136082599,91.881891513
711,star,58.1960536923,92.2149886482
712,star,58.7182307185,90.310532087
713,star,57.27837287,89.9076067166
714,star,58.082020494,92.0081450101
715,star,57.4894477748,88.0852855629
716,star,28.088741319,63.5107944263
717,star,28.0854682136,63.5901969481
718,star,28.087273053,63.1232828116
719,star,27.5780252176,62.8210386566
720,star,27.7799191139,63.518147517
721,star,28.5889998149,63.0240805653
722,star,28.7391414969,62.7208638859
723,star,27.0246032407,62.9018588649
724,star,28.8013366963,63.389040388
725,star,27.186463838,63.5587296478
726,star,29.2851466002,63.3836058254
727,star,39.4029453026,51.1508571967
728,star,28.8113284396,61.3578540576
729,star,34.3039579069,56.5421259093
730,star,29.6027609801,60.157346722
731,star,49.1161568603,63.6600006211
732,star,39.6175458263,62.9251879574
733,star,43.23308466,63.1652187223
734,star,64.8927879422,65.8141767574
735,star,62.4901493154,74.5842896072
736,star,68.9880844294,63.232147305
737,star,62.1056186306,75.9908707599
738,star,32.4618467439,62.8819029189
739,star,41.3272006535,49.0702512739
740,star,44.0071499323,46.4496737846
741,star,44.0740606888,34.5532038906
742,star,44.0013152386,33.9042073544
743,star,45.0063004454,38.2990195507
744,star,44.4438406096,36.0190833012
745,star,42.1787133986,26.492119482
746,star,44.0445656189,35.6622382764
747,star,41.6404540171,27.0930954213
748,star,41.9383300069,24.9915229793
749,star,44.0539275103,33.5563924949
750,star,39.2067193308,51.5337156971
751,star,28.7044492315,61.7775254006
752,star,31.7086628996,58.837754374
753,star,42.8117114739,30.0204484197
754,star,43.300614891,31.5264261979
755,star,40.3986329069,16.3470083822
756,star,40.4356915763,20.2326706762
757,star,40.9365466658,16.9130048364
758,star,39.6615736653,15.609355577
759,star,40.899259175,20.7985289466
760,star,41.9686168283,26.4970725985
761,star,40.3834058238,21.3912255247
762,star,56.5381264538,32.4442454697
763,star,52.9706912828,29.0401966941
764,star,54.6209525885,30.3445244537
765,star,65.0990443941,27.2415575588
766,star,63.0559909076,29.7090956748
767,star,70.9601362323,41.2595012867
768,star,69.8958192404,43.4537592655
769,star,70.5958928563,41.9647438672
770,star,69.6470214273,44.044445022
771,star,77.392982494,63.3714590552
772,star,64.4007871926,67.4487184472
773,star,63.8689598271,70.2137388333
774,star,56.5944213157,86.9270062202
775,star,56.5313372853,87.4998110713
776,star,59.6521583697,87.8094615921
777,star,56.6365087005,85.637495556
778,star,58.6722880025,90.077160307
779,star,58.2216127264,90.4110187715
780,star,57.9146644768,89.9538027677
781,star,55.3155090581,80.2518606944
782,star,54.5757285877,77.5362884724
783,star,54.4130936504,78.2290865878
784,star,55.0745059041,79.8175464166
785,star,29.4329605156,60.8017765444
786,star,29.4226860665,63.0684648229
787,star,29.0056141576,63.3907513334
788,star,58.4618385916,90.2653263904
789,star,57.997804739,92.1599086113
790,star,57.5494740761,90.7489065581
791,star,59.5299284566,88.3272741451
792,star,58.2493910631,92.1296814778
793,star,58.0245140126,91.6944211685
794,star,58.3821244904,90.5534760692
795,star,62.5667590405,77.7439347591
796,star,72.1758243064,63.1289294176
797,star,79.4727615693,63.4086861199
798,star,80.3577008812,63.2954375404
799,star,78.7572361375,53.3326200111
800,star,82.5402395934,56.5410522935
801,star,86.4358971909,59.7927618087
802,star,79.4886844186,53.6516742641
803,star,81.5304203188,56.0253645659
804,star,79.1867885665,53.2347918468
805,star,77.8990579454,51.8224583343
806,star,75.1307142075,23.3724419733
807,star,76.0580137544,16.3837496882
808,star,57.6146743876,33.8224476502
809,star,56.1713975295,32.1179887719
810,star,66.2878905956,26.1171097453
811,star,67.8817196169,24.2360184109
812,star,64.0280813016,27.6726855125
813,star,77.4966517463,14.9485235577
814,star,77.6346517616,14.461853927
815,star,77.8637264289,14.6106776491
816,star,77.3381581659,15.890054658
817,star,76.1804165329,15.9125737458
818,star,77.2526510945,15.1515170246
819,star,77.4133752817,15.2219279762
820,star,76.7318493982,16.2168461441
821,star,49.4711054118,25.0630193062
822,star,42.4765399431,18.3384735636
823,star,43.5951158622,19.9942009773
824,star,50.3399696652,26.4713966117
825,star,40.7489802561,16.1821416622
826,star,38.3865255803,14.5802151464
827,star,38.4040152085,14.4519484496
828,star,38.7642788913,14.3655904744
829,star,41.4701423265,17.2780334445
830,star,47.1554048146,22.3779325323
831,star,39.5825667453,17.6484528361
832,star,41.7402438167,17.8293243101
833,star,39.3118718889,15.6407169743
834,star,41.6798476925,17.7459190133
835,star,39.0874644519,15.1223039378
836,star,41.4815028637,18.0474374446
837,star,77.6060865492,15.1628725383
838,star,75.9826615205,16.3069223786
839,star,76.9457572424,15.858478334
840,star,77.5437200743,15.253949149
841,star,77.5847398447,15.8300393854
842,star,76.8223042562,15.5951653195
843,star,77.3485716647,15.7745292395
844,star,77.5731526867,14.7806458332
845,star,77.9726106776,14.9556987461
846,star,41.5289197586,24.9164251896
847,star,43.7225508034,19.0773278036
848,star,79.3260781751,52.9003912897
849,star,56.6639740815,87.9401250067
850,star,57.8217892319,90.6931665489
851,star,58.2431718991,92.1043278652
852,high_lines,57.6132335477,83.9051707998
853,high_lines,51.2743918205,82.8179829379
854,high_lines,50.7538984114,76.7541289533
855,high_lines,37.0211840116,81.954469997
856,high_lines,42.8817550897,80.1847700514
857,high_lines,37.1557104777,84.9541114129
858,high_lines,38.7318581261,83.7893564281
859,high_lines,31.0005254108,82.5794805962
860,high_lines,25.9854996226,74.3493875478
861,high_lines,23.7145662909,75.0980490792
862,high_lines,23.077319507,71.7205396747
863,high_lines,24.9391368744,72.5802858084
864,high_lines,17.8934987136,71.1096873431
865,high_lines,23.6730818572,64.8708391385
866,high_lines,23.7490719056,63.557171895
867,high_lines,32.2151786343,65.6009580191
868,high_lines,29.4368412489,67.5545281141
869,high_lines,40.0500951983,71.8890335708
870,high_lines,37.5747950188,69.9887444412
871,high_lines,49.3104686263,67.1687603206
872,high_lines,47.3480185524,72.5916115408
873,high_lines,50.157414434,71.1617258246
874,high_lines,58.2100082697,68.0445380719
875,high_lines,56.6089076561,70.4089460888
876,high_lines,52.8338205303,72.5518862725
877,high_lines,61.8185854576,76.1128240228
878,high_lines,61.7276334143,77.0692384058
879,high_lines,62.1922520815,76.1568192103
880,high_lines,58.1187658587,73.1189614684
881,high_lines,58.2704123843,35.5968950425
882,high_lines,59.7665303129,32.6212516009
883,high_lines,52.5355347207,27.1741229419
884,high_lines,50.8925215809,29.1452839382
885,high_lines,49.9675511775,28.4602033343
886,high_lines,51.3478832298,27.3642602259
887,high_lines,37.5551162883,24.5376638386
888,high_lines,39.1995941778,23.6804956588
889,high_lines,36.3827221955,25.2380052325
890,high_lines,41.1006943822,26.5526132161
891,high_lines,28.2178118248,28.2802924847
892,high_lines,33.7970720433,28.6997507433
893,high_lines,43.9193873055,27.7978445882
894,high_lines,44.4164011084,28.9476923345
895,high_lines,28.0376027706,26.8038243613
896,high_lines,31.6895761296,26.6664002089
897,high_lines,27.2796128523,19.2572809685
898,high_lines,31.2218783581,26.4408557812
899,high_lines,33.5458051034,20.0807081014
900,high_lines,39.7363306065,23.4948069772
901,high_lines,42.8418426525,20.3339004396
902,high_lines,47.0937298879,26.9934706312
903,high_lines,51.4536583539,26.0229417521
904,high_lines,49.3677068167,22.005580703
905,high_lines,48.2534809736,29.2708555331
906,high_lines,61.0029597643,30.0153144324
907,high_lines,60.8065608049,27.8683134861
908,high_lines,59.0674270249,26.7882840217
909,high_lines,61.4146337175,31.0393750583
910,high_lines,68.9343694692,31.6198930866
911,high_lines,63.0652438592,34.2357465852
912,high_lines,72.2725228706,67.6444437851
913,high_lines,75.3598819664,75.4216145799
914,high_lines,72.8336258709,72.1146938095
915,high_lines,70.8104148392,79.3504618327
916,high_lines,45.8019347617,81.6582677456
917,high_lines,45.835020171,82.7425919919
918,high_lines,40.0788064496,80.2471852579
919,high_lines,51.9829247003,82.2043834675
920,high_lines,57.337906053,84.9995188696
921,high_lines,62.3362327624,83.2465678988
922,high_lines,58.5059100905,81.7455863409
923,high_lines,56.2479351377,83.513949493
924,high_lines,55.4065208295,80.2666719669
925,high_lines,53.2839688423,84.2635992213
926,high_lines,44.6767615455,80.2382855483
927,high_lines,30.0112642472,68.1467563743
928,high_lines,29.7452539206,74.4045268347
929,high_lines,37.3099483549,72.5861552003
930,high_lines,61.1359469093,82.5375693646
931,high_lines,61.7206191907,85.7056934492
932,high_lines,63.6093798555,83.3600288362
933,high_lines,70.7237162322,87.1522075165
934,high_lines,75.0063926418,82.4258351563
935,high_lines,75.0925497814,83.4373907092
936,high_lines,70.3279291834,82.0293546968
937,high_lines,70.8633308324,79.4081747457
938,high_lines,75.7799048195,79.8861994199
939,high_lines,78.0936590733,77.759558184
940,high_lines,76.7457612243,71.9733600919
941,high_lines,78.4646034437,69.7493008209
942,high_lines,76.7456848486,70.0440572588
943,high_lines,85.161682187,65.5124047088
944,high_lines,91.8083525691,34.9655944844
945,high_lines,91.8874485924,34.7692538555
946,high_lines,92.2484016622,32.3771544295
947,high_lines,91.782532741,34.3842946521
948,high_lines,96.0805193672,28.0536005018
949,high_lines,92.2478988278,28.0707514904
950,high_lines,57.662276619,24.0606079328
951,high_lines,59.8469248931,26.1777124879
952,high_lines,64.0670962137,27.7765005568
953,high_lines,60.9815013975,23.9342981582
954,high_lines,59.9670579092,26.8025832185
955,high_lines,62.7074541119,21.9955085787
956,high_lines,69.1952352018,22.709792166
957,high_lines,65.5923626471,20.6941731019
958,high_lines,64.6170985343,22.4431455531
959,high_lines,59.191159132,17.767901807
960,high_lines,55.8396313724,21.6185696663
961,high_lines,59.0007586238,21.1710074885
962,high_lines,56.4593711284,25.1445642082
963,high_lines,52.3581053558,19.4170541222
964,high_lines,51.8116637782,17.0334945954
965,high_lines,54.222845621,19.503665544
966,high_lines,49.0187553996,23.4892740197
967,high_lines,35.6535812004,17.5145080595
968,high_lines,46.965785757,16.7892016247
969,high_lines,49.5842392555,16.7579160147
970,high_lines,51.8562999655,21.969084007
971,high_lines,55.9528886329,16.7897576048
972,high_lines,51.6637862607,19.9251251977
973,high_lines,45.8596693166,17.1289036754
974,high_lines,39.7403795202,18.7410514146
975,high_lines,52.8112216438,17.8549881176
976,high_lines,56.7891043639,17.3061155207
977,high_lines,54.1145317806,17.6735343896
978,high_lines,55.571119732,17.369574581
979,high_lines,65.3064624975,18.1973548277
980,high_lines,66.9907491546,17.2228706509
981,high_lines,72.1567189391,16.8142747914
982,high_lines,70.9805804021,17.15575228
983,high_lines,72.2220822073,19.3692816955
984,high_lines,79.7001583481,20.740218365
985,high_lines,64.2491606461,14.9139624607
986,high_lines,66.9432914334,20.1891325034
987,high_lines,66.9416766634,18.2435093914
988,high_lines,39.6482666468,22.7313663718
989,high_lines,37.9497836858,26.5217492344
990,high_lines,86.5043905611,34.8940252874
991,high_lines,50.8154853559,78.950838805
992,high_lines,51.1834666638,85.1288546497
993,high_lines,40.8638552293,82.9261452983
994,dots,51.1479167122,90.8674123313
995,dots,50.5171258092,89.1023945866
996,dots,50.2074801993,85.4600473951
997,dots,50.0694819181,83.0576695262
998,dots,50.5628463386,82.9378217764
999,dots,50.288527801,82.9752535659
1000,dots,25.5834750822,82.9148911324
1001,dots,25.4835833896,82.929084979
1002,dots,25.4435257049,82.8742004973
1003,dots,25.5651134237,82.9240977704
1004,dots,25.9288442731,82.8211841087
1005,dots,27.5514782612,51.4873865306
1006,dots,27.5304663693,51.4148465629
1007,dots,27.0955703605,52.0767994399
1008,dots,27.4392496133,51.7120790527
1009,dots,27.8782642594,50.70890793
1010,dots,27.3388689181,51.6530467544
1011,dots,27.6784029741,51.1819891691
1012,dots,52.6356576791,51.4185522584
1013,dots,52.0252141055,52.1230110467
1014,dots,52.8811647904,50.6215547554
1015,dots,52.9526073133,50.0747390118
1016,dots,52.5205524936,51.5024421035
1017,dots,52.3428220582,51.8619520908
1018,dots,51.9275902141,52.2577906065
1019,dots,52.7137744894,51.1979443188
1020,dots,50.4438027888,82.9418288173
1021,dots,50.2166950326,83.7523429676
1022,dots,52.1841801076,51.9752506714
1023,dots,52.7920973459,51.0733956509
1024,dots,52.5897198565,51.338090196
1025,dots,52.0288486671,52.1768375002
1026,dots,52.729246581,51.2017650475
1027,dots,52.8843132864,50.4414354501
1028,dots,52.5093008862,51.4162051508
1029,dots,50.8626843321,17.1456310914
1030,dots,50.8914922458,17.1413237277
1031,dots,25.8551275976,17.0819086886
1032,dots,26.0256445518,16.9250135319
1033,dots,27.8931727187,50.6619634101
1034,dots,27.6399679354,51.3990974838
1035,dots,27.892658895,50.7952815163
1036,dots,52.7977329399,50.6860370901
1037,dots,27.5806388053,51.5247612607
1038,dots,26.4913985349,17.4053909738
1039,dots,25.9853178159,17.203722132
1040,dots,26.2014192753,17.0938239128
1041,dots,25.8575694746,17.113842659
1042,dots,50.7046843629,17.0237445436
1043,dots,50.8119753465,17.1149252621
1044,dots,50.5648455577,17.0777773216
1045,dots,50.9393039127,16.981021883
1046,dots,50.4588548392,17.0385789686
1047,dots,52.9013640729,50.6905627231
1048,dots,52.6849534438,51.2944692191
1049,dots,52.500088943,51.594356165
1050,dots,51.8356372562,52.3357655339
1051,dots,76.9954121013,52.0455286534
1052,dots,77.310600475,51.7467300374
1053,dots,77.9260443352,50.3186604237
1054,dots,77.2543883433,51.4618248152
1055,dots,76.2431578028,52.1236898503
1056,dots,77.0844843669,51.9671367003
1057,dots,75.2280531954,82.9856620201
1058,dots,50.6583547714,83.1144793358
1059,dots,50.2033658114,82.9826568621
1060,dots,50.9295476993,82.8460411252
1061,dots,50.1786718465,83.1846223323
1062,dots,50.422698058,82.9099014671
1063,dots,50.4642248341,82.9353284131
1064,dots,50.4492703306,83.9699203811
1065,dots,49.9283802752,82.9936654888
1066,dots,50.4880136436,83.0995191232
1067,dots,49.9649053793,83.7083177013
1068,dots,50.7521082559,82.9019500961
1069,dots,27.4224292143,51.4388762325
1070,dots,27.6740833991,51.3041121452
1071,dots,27.5373953151,51.5936540762
1072,dots,52.2633473764,94.2493278274
1073,dots,51.7372816586,92.9791175339
1074,dots,75.8709636929,88.3864417377
1075,dots,75.2443262052,83.9034973788
1076,dots,75.1982952889,83.4623033365
1077,dots,75.7010415321,82.9194588559
1078,dots,75.4793396586,82.8840513891
1079,dots,75.1945668739,82.9321157846
1080,dots,74.8202539551,82.9623887856
1081,dots,75.1643404933,83.0349971693
1082,dots,75.2633555474,82.9452793018
1083,dots,77.7564189331,51.1517703255
1084,dots,77.9544350549,50.4755789715
1085,dots,77.0833377719,52.1577992662
1086,dots,76.0635502513,52.1046520613
1087,dots,77.6820163247,51.1656378096
1088,dots,76.8780819814,51.8675622958
1089,dots,76.9485027211,51.9075165439
1090,dots,77.8640547124,49.6625455341
1091,dots,75.7714500936,17.1112512057
1092,dots,52.3315691301,51.8788603463
1093,dots,52.5928183721,51.3915915185
1094,dots,50.4770477213,17.0482894119
1095,dots,75.2964750909,17.0156531888
1096,dots,75.573954129,17.0621921415
1097,dots,75.4005271583,17.0411068868
1098,dots,75.8709908356,17.1348939075
1099,dots,75.6058847579,17.0677230553
1100,dots,75.8955770466,17.1699497051
1101,dots,75.7465632023,17.1057165115
1102,dots,75.1423414811,16.7549238932
1103,dots,50.6617795563,17.0781405153
1104,dots,50.6998506392,17.0851843836
1105,dots,50.9189408654,17.1476047571
1106,dots,50.7252585405,16.9074698083
1107,dots,51.2638712274,17.1623497098
1108,dots,51.2509196468,17.2404558616
1109,dots,50.7851572052,17.1801964842
1110,dots,50.5013965822,17.1057707188
1111,dots,50.7336745372,16.9929634144
1112,dots,50.7113785398,17.0883158538
1113,dots,50.8127448984,16.5727180506
1114,dots,51.014232955,17.2210955293
1115,dots,50.3535214052,17.0647430794
1116,dots,50.4355295722,17.0651685025
1117,dots,50.6309819633,17.0765223454
1118,dots,51.0668072036,17.2088597095
1119,dots,50.7923547263,17.2042143387
1120,dots,50.5512780561,17.0846551833
1121,dots,50.5597580562,17.0938837744
1122,dots,75.3259785471,15.7718919896
1123,dots,75.04472578,17.0042622562
1124,dots,75.2870877232,16.1749349097
1125,dots,75.2399699777,17.0318474866
1126,dots,75.1524592023,17.0049424015
1127,dots,75.9618400861,16.6948422289
1128,dots,75.4480625064,17.0451494125
1129,dots,75.7593838168,16.9429296545
1130,dots,50.378262298,16.9462798113
1131,dots,50.5336350094,17.0195813691
1132,dots,77.5009073165,50.1669859475
1133,dots,50.6911241884,87.5139604241
1134,dots,49.9903949511,83.997356924
1135,dots,50.1271820272,82.990749996
1136,circle,55.9930301513,79.2772636977
1137,circle,50.0322537946,79.013071199
1138,circle,51.2884586593,82.4359398425
1139,circle,51.1705368873,79.1652941091
1140,circle,44.3779145287,78.1646280036
1141,circle,45.0102700721,77.8808631153
1142,circle,48.559816719,78.7883706035
1143,circle,42.1422682922,76.8806345544
1144,circle,41.0269715735,76.4095884613
1145,circle,34.5753090115,72.7248411845
1146,circle,31.1686007236,69.2454213193
1147,circle,32.6442540714,70.7325550334
1148,circle,26.6666456539,62.9809712052
1149,circle,26.4592623274,62.6346733709
1150,circle,25.5380076465,60.6302361093
1151,circle,26.3207111933,62.3962811186
1152,circle,26.1633874648,62.0268148985
1153,circle,25.2137904611,60.2733986018
1154,circle,26.8595295604,63.1418346727
1155,circle,31.7606691716,69.7976553936
1156,circle,39.7932905744,75.8079642168
1157,circle,45.6174391854,78.1199702277
1158,circle,53.7714606827,79.3029316435
1159,circle,56.4514336733,79.2471070208
1160,circle,66.0937201989,77.0178182606
1161,circle,56.9258394194,79.2063186226
1162,circle,58.9882538467,78.9172589554
1163,circle,57.9022660533,79.0808678187
1164,circle,64.8128669568,77.4869389235
1165,circle,60.3497935166,78.7294458673
1166,circle,48.890555756,16.8065435154
1167,circle,47.549506348,17.0714045245
1168,circle,30.8894308257,26.3290372348
1169,circle,28.972835724,29.0504689185
1170,circle,35.1613607523,22.7868496473
1171,circle,45.8703691685,17.4893933655
1172,circle,32.8314206076,24.7975381459
1173,circle,39.4855747899,20.0330500489
1174,circle,33.4461829314,24.1906434075
1175,circle,21.8635812756,46.0525933457
1176,circle,25.1658708449,35.7666139539
1177,circle,22.9594789762,51.2877067934
1178,circle,25.5860552415,60.8465833585
1179,circle,26.3143100672,33.2971681038
1180,circle,33.037301251,24.5644624921
1181,circle,36.4688894772,21.8761144725
1182,circle,26.5135531009,32.9187498178
1183,circle,36.0270912125,22.1954385395
1184,circle,42.6810404129,18.5425361977
1185,circle,45.0410771273,17.7345177303
1186,circle,47.3524164557,17.1347454264
1187,circle,53.8461940322,16.3873180961
1188,circle,55.1296393835,16.3532468711
1189,circle,52.1881199617,16.4182174652
1190,circle,58.6726630845,16.6633724322
1191,circle,82.1443116037,33.1952218669
1192,circle,75.6865711383,24.7415103908
1193,circle,85.344964503,52.886419866
1194,circle,83.8446535127,58.6160602305
1195,circle,85.66476066,45.5427527692
1196,circle,77.931004934,68.6900618808
1197,circle,73.0318330209,73.12057473
1198,circle,70.1028044999,75.6832068542
1199,circle,57.1446946889,79.1941025922
1200,circle,46.9624619942,78.6665589963
1201,circle,50.5649338128,79.0772985529
1202,circle,53.7196765696,79.306936167
1203,circle,54.2002323226,79.3250023354
1204,circle,47.875198343,78.6758534295
1205,circle,51.4734585149,79.1598669963
1206,circle,52.7512222162,79.2936599344
1207,circle,48.5622230047,78.7823835275
1208,circle,53.0812416908,79.2972507654
1209,circle,56.475383374,79.1678400979
1210,circle,49.570911405,79.0381238831
1211,circle,37.6277032991,74.5575043418
1212,circle,32.2637000863,70.3166389012
1213,circle,32.542380336,70.7024172063
1214,circle,52.8250171923,85.5781338795
1215,circle,58.5282895407,78.9787042541
1216,circle,56.265834263,79.2529394854
1217,circle,57.0758924193,79.1939225382
1218,circle,54.2564023808,79.3138648504
1219,circle,62.6856712475,78.1747432719
1220,circle,68.0856058616,76.1123175001
1221,circle,65.1181219632,77.3991884543
1222,circle,68.7456312971,75.7900554548
1223,circle,63.0902251412,78.041409495
1224,circle,77.2045893204,69.3121497658
1225,circle,82.0339084758,62.6818697859
1226,circle,81.5779459183,63.8949255005
1227,circle,85.1801432805,53.7816766607
1228,circle,84.2868249936,57.2561680896
1229,circle,85.6224867126,45.0241658646
1230,circle,85.6044990156,50.7623379055
1231,circle,84.4247858276,38.761410164
1232,circle,85.570985078,44.5600964397
1233,circle,84.6267242006,39.4870775084
1234,circle,73.3961549252,22.8162479426
1235,circle,73.5074477338,22.8569887644
1236,circle,63.3564881135,17.7240688424
1237,circle,72.9590468722,22.5114998325
1238,circle,64.0208416469,17.8835812521
1239,circle,61.124463241,17.1163533592
1240,circle,75.6742073297,24.7825009657
1241,circle,69.5135831574,20.2793578927
1242,circle,58.5721354669,16.642703808
1243,circle,70.9819409865,21.1458881039
1244,circle,65.2230303973,18.3971951223
1245,circle,65.3150439093,18.3337482986
1246,circle,64.0102406778,17.9244781912
1247,circle,57.1409359294,16.5986105437
1248,circle,56.3651532552,16.3265463742
1249,circle,43.046183241,18.4025593948
1250,circle,52.0817555582,16.4538745312
1251,circle,42.8790365154,18.4894110252
1252,circle,51.5669948027,16.4857136372
1253,circle,58.8391251216,16.6376352154
1254,circle,60.7557891374,17.0332315064
1255,circle,54.7611561181,16.3661890954
1256,circle,53.5699050003,16.3397125506
1257,circle,48.9146182416,16.7986370826
1258,circle,52.6461373069,16.3848363836
1259,circle,49.8384929905,16.6763302777
1260,circle,52.6840664009,16.4079627826
1261,circle,65.8072190346,18.1407649473
1262,circle,60.6739209233,17.0518023644
1263,circle,63.394712866,17.7005351354
1264,circle,64.8020094467,18.2168786335
1265,circle,65.0259398087,18.2878245002
1266,circle,65.7555515404,18.5162158303
1267,circle,69.9677341245,20.5389887758
1268,circle,68.8927840241,20.0324488429
1269,circle,61.8265465579,17.2696554452
1270,circle,60.7879700808,17.0462048583
1271,circle,61.9156096372,17.2821912228
1272,circle,45.0289975331,17.7244473049
1273,circle,39.9213628084,19.7018495281
1274,circle,84.7942778751,55.5686503735
1275,circle,55.6629587449,83.3564796243
1276,circle,50.4922475132,78.997532065
1277,circle,51.4671011416,79.2018445773
1278,bullseye,51.2038911373,83.3397766053
1279,bullseye,58.9744699018,85.499817612
1280,bullseye,51.8720726696,85.8297376348
1281,bullseye,48.1799307865,85.0451167372
1282,bullseye,41.6832004024,84.0179406019
